nb_A,nb_W,nb_A_W
19533,1982,21515
24001,1332,25322
28006,1306,29270
22373,1760,24085
18033,1483,19512
20081,1419,21432
19654,1996,21647
18829,2316,21130
24002,2478,26464
24517,1938,26448
21083,1619,22702
37563,4024,41403
32755,2779,35532
38687,3020,41673
27438,2178,29608
23942,1323,25254
23700,1576,25275
23743,1880,25618
47783,2419,50175
22370,2038,24405
17152,2280,19404
19876,1760,21635
38232,1898,40115
20884,1604,22476
20071,1861,21915
21996,2205,24194
25666,1795,27426
28164,1961,30079
22913,1804,24717
23894,1976,25847
33420,1689,35099
20594,1477,22069
22093,1725,23815
21062,1633,22674
21138,1488,22616
23061,1577,24637
23649,3085,26712
18707,2698,21404
19325,1903,21228
18972,2183,21107
22934,1936,24869
59907,1398,60607
35483,1523,36966
25715,1537,27218
30919,1952,32846
24950,2356,27306
23524,2073,25597
21554,1573,23084
23161,1734,24863
30898,1527,32380
25699,1991,27678
20117,1689,21803
15685,1445,17130
17112,1596,18708
19435,1699,21134
24013,1705,25712
17335,1734,19069
17613,1721,19324
16756,1690,18425
16510,1794,18303
20464,1723,22187
15494,1535,17029
19269,1526,20794
21765,1959,23711
20735,1828,22562
18829,1444,20272
15796,1497,17293
16059,1355,17392
19581,1396,20970
23326,1751,25074
23171,1926,25020
24947,1865,26803
53854,5704,59479
29917,1433,31308
16289,1614,17870
17953,1528,19463
21396,1870,23246
20607,1735,22342
20532,1669,22196
27419,1972,29382
40253,2173,42404
22246,1884,24111
18587,1612,20199
18500,1675,20150
16205,1558,17739
17117,1431,18536
23387,2052,25428
15564,1534,17002
18628,1667,20274
17417,1524,18921
26293,1781,28068
16107,1700,17800
14732,1391,16073
17238,1774,19006
15241,1680,16887
21675,1559,23210
22232,1887,23992
23089,1781,24866
19056,1953,20988
44978,4579,49409
59352,5384,64686
35008,7586,42507
25050,4942,29967
88083,7975,95209
66883,4606,71223
41092,3509,44580
63098,5451,68524
71124,6653,77718
25156,1530,26614
16839,1351,18133
32010,1655,33627
17872,2161,20027
17412,1870,19280
33022,1961,34983
30037,2498,32532
23200,2422,25621
24471,2202,26663
34751,1799,36535
25865,1999,27661
91415,1420,92822
39306,1182,40482
28427,1343,29770
17636,1629,19265
27764,2163,29925
23550,2437,25986
23952,2189,26141
19082,1572,20653
27840,1827,29646
28726,1658,30382
21978,1357,23309
54612,1419,56031
21679,1801,23478
33580,4612,37969
29470,1503,30969
30999,1704,32703
26495,1290,27769
21968,1264,23232
24304,1833,26136
26144,1716,27860
21253,1637,22890
19624,1653,21277
43223,2249,45472
27051,1911,28962
24787,1635,26421
31631,2274,33903
23464,1499,24963
21669,2223,23880
27518,1764,29152
21439,2058,23481
18328,1565,19893
16661,1832,18493
22287,1604,23890
17545,1746,19291
17680,1731,19411
20657,1429,22085
22017,1493,23508
20779,2322,23100
21176,2144,23319
18067,1952,20019
19634,1457,21078
22671,1606,24277
19322,1647,20969
25766,2573,28338
26273,2268,28540
31132,3830,34962
73052,2837,75889
35442,1747,37189
35357,1504,36861
19618,1407,21024
